[INFO] 2025-09-18 08:37:39,125 [axes.apps] AXES: BEGIN version 8.0.0, blocking by username or ip_address
[INFO] 2025-09-18 08:37:39,339 [axes.apps] AXES: BEGIN version 8.0.0, blocking by username or ip_address
[INFO] 2025-09-18 08:37:39,560 [axes.apps] AXES: BEGIN version 8.0.0, blocking by username or ip_address
[WARNING] 2025-09-18 08:37:40,565 [django.request] Not Found: /partner/ping-session/
[DEBUG] 2025-09-18 08:37:56,642 [learner.views] Comment added by admin for material 26, parent_id=56
[WARNING] 2025-09-18 08:37:56,786 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:03,283 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,345 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,359 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,360 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,372 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,374 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,381 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,387 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,390 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,400 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,406 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,414 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,416 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,425 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,428 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,441 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,446 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,450 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,454 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,464 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,469 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,474 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,474 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,483 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,492 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,494 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,508 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,512 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,514 [django.request] Not Found: /partner/ping-session/
[WARNING] 2025-09-18 08:38:06,519 [django.request] Not Found: /partner/ping-session/
